index,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,price_per_kg
0,Maruti Swift Dzire VDI,11,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,19230
1,Skoda Rapid 1.5 TDI Ambition,11,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,17502
2,Honda City 2017-2020 EXi,19,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,8926
3,Hyundai i20 Sportz Diesel,15,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,9782
4,Maruti Swift VXI BSIII,18,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,8074
5,Hyundai Xcent 1.2 VTVT E Plus,8,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,21847
6,Maruti Wagon R LXI DUO BSIII,18,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,5549
7,Maruti 800 DX BSII,24,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,2795
8,Toyota Etios VXD,14,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,14836
9,Ford Figo Diesel Celebration Edition,12,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,10000
10,Renault Duster 110PS Diesel RxL,11,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,26301
11,Maruti Zen LX,20,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,5317
12,Maruti Swift Dzire VDi,16,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,14507
13,Maruti Swift 1.3 VXi,18,200000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,,0.0,,10299
14,Maruti Wagon R LXI Minor,16,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,9523
15,Mahindra KUV 100 mFALCON G80 K8 5str,9,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,22038
16,Maruti Ertiga SHVS VDI,9,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,31729
17,Hyundai i20 1.4 CRDi Asta,13,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,21739
18,Maruti Alto LX,23,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,7614
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,9,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,30168
20,Mahindra Verito 1.5 D4 BSIII,14,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,8285
21,Honda WR-V i-DTEC VX,8,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,37254
22,Maruti Swift Dzire ZDI,10,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,19744
23,Maruti SX4 ZDI,13,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,27906
24,Tata Tigor 2017-2020 XZ,7,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,24630
25,Maruti Baleno Delta 1.2,9,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,26869
26,Maruti Alto 800 LXI,8,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,11133
27,Chevrolet Enjoy TCDi LTZ 7 Seater,12,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,16483
28,Maruti Wagon R LXI Minor,16,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,11640
29,Maruti Omni E MPI STD BS IV,7,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,15178
30,Maruti Vitara Brezza LDi Option,8,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,27572
31,Fiat Palio 1.2 ELX,22,70000,50000,Petrol,Individual,Manual,Second Owner,19.41878335651954,,0.0,,3604
32,Maruti Omni 8 Seater BSIV,13,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,10714
33,Hyundai i20 1.2 Asta Dual Tone,7,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,39247
34,Maruti Vitara Brezza LDi,8,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,26748
